ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
MW102	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW055	Germany	50.652051	9.162438	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW083	Germany	50.652051	9.162438	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW078	Germany	51.010989	10.845346	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW052	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW056	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW059	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW076	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW090	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW095	Germany	51.104541	13.201738	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW080	Germany	51.950265	11.692273	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW058	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW070	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW077	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW085	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW088	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW091	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW098	Germany	52.131392	13.216249	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW072	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW073	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW094	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW096	Germany	52.636704	9.845077	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW089	Germany	53.612651	12.429595	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW295	Poland	50.5737	21.93079	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW263	Poland	51.55846	15.25794	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW270	Poland	51.562	15.0614	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW271	Poland	51.60928	14.97246	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW289	Poland	52.53113	14.79944	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW273	Poland	52.5431	14.76891	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW291	Poland	52.5454	17.0451	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW287	Poland	52.54669	15.07533	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW286	Poland	52.71581	16.08352	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW288	Poland	52.7872	15.73189	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW276	Poland	53.0496	16.1429	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW277	Poland	53.06771	16.54556	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW274	Poland	53.2381	15.97129	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW281	Poland	53.3709	16.65359	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW280	Poland	53.3845	16.73929	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW278	Poland	53.39909	16.70848	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW283	Poland	53.52417	16.41971	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW272	Poland	54.13323	17.84086	Canis lupus	wild	#6B0504	unrelated	CEL	CEL
MW877	Bosnia and Herzegovina	43.45	18.6	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW703A	Bosnia and Herzegovina	43.7831	19.2918	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1120	Bulgaria	41.7	23.1	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW876	Bulgaria	41.7333	24.35	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW706A	Bulgaria	42.6977	23.32186	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1118	Bulgaria	42.86	23.31	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1126	Croatia	43.16	17.32	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1127	Croatia	43.16	17.32	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1128	Croatia	43.55	16.3	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1125	Croatia	43.6	16.54	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1130	Croatia	43.63	16.77	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1129	Croatia	43.66	16.27	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1121	Croatia	43.7	16.62	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1124	Croatia	44.59	15.44	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1123	Croatia	45.39	14.8	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1122	Croatia	45.4	14.72	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1135	Greece	40.1	21.42	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1133	Greece	40.3	21.8	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1134	Greece	40.3	21.8	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW1140	Greece	40.71	21.81	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW066	Romania	45.134775	23.166059	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW705A	Romania	45.6792	26.2527	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW063	Romania	45.94316	24.96676	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW068	Romania	45.94316	24.96676	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
MW064	Romania	46.069015	26.087026	Canis lupus	wild	#FDCA40	unrelated	DINBAL	DINBAL
