ID	admixture	Location	age	Latitude	Longitude	Species	Label	oldgroup	newgroup	newgroupfull
MW962	4	Slovakia	2016	48.6409	19.4602	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW963	NA	Slovakia	2020	48.7163	19.6992	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW964	4	Slovakia	2016	49.2079	19.535	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW965	4	Slovakia	2016	49.1066	19.4374	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW966	4	Slovakia	2016	49.09834	20.20651	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW967	4	Slovakia	2016	49.0097	20.0902	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW969	4	Slovakia	2015	49.0151	20.1641	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW970	4	Slovakia	2016	49.0097	20.0902	Wolf	Wolf_Modern	Carpathian	CAR	Carpathian
MW1176	4	Ukraine	2001	48.47	22.72	Wolf	Wolf_Modern	Baltic	CAR	Carpathian
MW1179	4	Ukraine	2001	49.22	23.3	Wolf	Wolf_Modern	Baltic	CAR	Carpathian
MW1180	4	Ukraine	2001	48.82	23.22	Wolf	Wolf_Modern	Baltic	CAR	Carpathian
MW1182	4	Ukraine	2002	49.92	23.35	Wolf	Wolf_Modern	Baltic	CAR	Carpathian
MW1063	14	Russia	2020	57.15	63.05	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1064	14	Russia	2020	56.55	63.5	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1065	14	Russia	2020	57.15	58.4	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1066	14	Russia	2020	54.3	55.2	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1067	NA	Russia	2020	56.45	57.5	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1068	14	Russia	2020	56.42	58.5	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1069	NA	Russia	2020	57.34	62.42	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1070	14	Russia	2020	56.43	63.47	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1071	14	Russia	2020	56.58	63.28	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1072	NA	Russia	2020	56.55	63.15	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1073	14	Russia	2020	56.55	63.15	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1082	NA	Russia	2020	56.5	64.59	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1210	14	Russia	2020	58.2	57.2	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1212	14	Russia	2020	57.15	58.4	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1213	14	Russia	2020	56.45	57.5	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1215	14	Russia	2020	57.4	63	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW1219	14	Russia	2020	56.5	64.59	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW469	14	Russia	1996	64.7	43.39103	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW486	14	Russia	2000	65.86165	44.22931	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW487	14	Russia	1999	65.86165	44.22931	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW491	14	Russia	2000	65.86165	44.22931	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW494	NA	Russia	2000	65.86165	44.22931	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW868	14	Russia	2020	57	59	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW869	14	Russia	2020	57	60	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW870	14	Russia	2020	57	59	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW871	NA	Russia	2020	53	57	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW872	NA	Russia	2020	53	57	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW873	NA	Russia	2020	53	57	Wolf	Wolf_Modern	Asian_Central	CASIA	Central Asian
MW515	8	Austria	2020	48.65342	15.33925	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW045	8	Czech-Republic	2019	50.797808	14.417685	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW333	8	Czech-Republic	2018	50.653	15.6133	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW334	8	Czech-Republic	2018	50.3376	14.8746	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW338	8	Czech-Republic	2020	50.67852	14.539699	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW340	8	Czech-Republic	2019	50.27093	14.66497	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW001	8	Denmark	2020	56.273653	8.318263	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW002	8	Denmark	2020	56.75073	8.422565	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW052	8	Germany	2009	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW055	8	Germany	2015	50.652051	9.162438	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW056	8	Germany	2015	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW058	8	Germany	2015	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW059	8	Germany	2015	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW070	8	Germany	2015	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW072	8	Germany	2015	52.636704	9.845077	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW073	8	Germany	2016	52.636704	9.845077	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW076	8	Germany	2016	51.104541	13.201738	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW077	8	Germany	2015	52.131392	13.216249	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW078	8	Germany	2016	51.010989	10.845346	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW080	8	Germany	2015	51.950265	11.692273	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
MW083	8	Germany	2016	50.652051	9.162438	Wolf	Wolf_Modern	Central_European_lowlands	CEL	Central European Lowlands
