ID	admixturegroup	newgroup	newgroupfull	colour	Location	age	Latitude	Longitude	Species	related	oldgroup
MW1066	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	54.3	55.2	Wolf	Nonrelated	CASIA
MW1068	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.42	58.5	Wolf	Nonrelated	CASIA
MW1070	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.43	63.47	Wolf	Nonrelated	CASIA
MW1071	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.58	63.28	Wolf	Nonrelated	CASIA
MW1073	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.55	63.15	Wolf	Nonrelated	CASIA
MW1210	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	58.2	57.2	Wolf	Nonrelated	CASIA
MW1212	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	57.15	58.4	Wolf	Nonrelated	CASIA
MW1213	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.45	57.5	Wolf	Nonrelated	CASIA
MW1215	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	57.4	63	Wolf	Nonrelated	CASIA
MW1219	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	56.5	64.59	Wolf	Nonrelated	CASIA
MW486	14	VOUR	Volga-Ural	#6BC2EB	Russia	2000	65.86165	44.22931	Wolf	Nonrelated	CASIA
MW487	14	VOUR	Volga-Ural	#6BC2EB	Russia	1999	65.86165	44.22931	Wolf	Nonrelated	CASIA
MW491	14	VOUR	Volga-Ural	#6BC2EB	Russia	2000	65.86165	44.22931	Wolf	Nonrelated	CASIA
MW868	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	57	59	Wolf	Nonrelated	CASIA
MW869	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	57	60	Wolf	Nonrelated	CASIA
MW870	14	VOUR	Volga-Ural	#6BC2EB	Russia	2020	57	59	Wolf	Nonrelated	CASIA
AW538	14	VOUR	Volga-Ural	#6BC2EB	Finland	2003	62.53633	24.18494	ZWolf	Nonrelated	CASIA
AW539	14	VOUR	Volga-Ural	#6BC2EB	Finland	1999	62.53633	24.18494	ZWolf	Nonrelated	CASIA
AW541	14	VOUR	Volga-Ural	#6BC2EB	Finland	1981	60.17487	24.98467	ZWolf	Nonrelated	CASIA
MW1002	14	VOUR	Volga-Ural	#6BC2EB	Finland	1985	62.6734482	30.9116358	ZWolf	Nonrelated	CASIA
MW1005	14	VOUR	Volga-Ural	#6BC2EB	Finland	1986	62.5377395	24.1798262	ZWolf	Nonrelated	CASIA
MW1006	14	VOUR	Volga-Ural	#6BC2EB	Finland	1986	62.5377395	24.1798262	ZWolf	Nonrelated	CASIA
MW1222	14	VOUR	Volga-Ural	#6BC2EB	Sweden	2020	61.71045	16.15425	ZWolf	Nonrelated	CASIA
MW1227	14	VOUR	Volga-Ural	#6BC2EB	Sweden	2020	59.32442	18.10098	ZWolf	Nonrelated	CASIA
MW1229	14	VOUR	Volga-Ural	#6BC2EB	Sweden	2018	61.21232	14.53508	ZWolf	Nonrelated	CASIA
MW1231	14	VOUR	Volga-Ural	#6BC2EB	Sweden	2019	59.32704	18.10374	ZWolf	Nonrelated	CASIA
MW1232	14	VOUR	Volga-Ural	#6BC2EB	Sweden	2020	60.1282	18.6435	ZWolf	Nonrelated	CASIA
MW001	7	CEL	Central European Lowlands	#6B0504	Denmark	2020	56.273653	8.318263	Wolf	Nonrelated	CEL
MW002	7	CEL	Central European Lowlands	#6B0504	Denmark	2020	56.75073	8.422565	Wolf	Nonrelated	CEL
MW045	7	CEL	Central European Lowlands	#6B0504	Czech-Republic	2019	50.797808	14.417685	Wolf	Nonrelated	CEL
MW052	7	CEL	Central European Lowlands	#6B0504	Germany	2009	51.104541	13.201738	Wolf	Nonrelated	CEL
MW055	7	CEL	Central European Lowlands	#6B0504	Germany	2015	50.652051	9.162438	Wolf	Nonrelated	CEL
MW056	7	CEL	Central European Lowlands	#6B0504	Germany	2015	51.104541	13.201738	Wolf	Nonrelated	CEL
MW058	7	CEL	Central European Lowlands	#6B0504	Germany	2015	52.131392	13.216249	Wolf	Nonrelated	CEL
MW059	7	CEL	Central European Lowlands	#6B0504	Germany	2015	51.104541	13.201738	Wolf	Nonrelated	CEL
MW070	7	CEL	Central European Lowlands	#6B0504	Germany	2015	52.131392	13.216249	Wolf	Nonrelated	CEL
MW072	7	CEL	Central European Lowlands	#6B0504	Germany	2015	52.636704	9.845077	Wolf	Nonrelated	CEL
MW073	7	CEL	Central European Lowlands	#6B0504	Germany	2016	52.636704	9.845077	Wolf	Nonrelated	CEL
MW076	7	CEL	Central European Lowlands	#6B0504	Germany	2016	51.104541	13.201738	Wolf	Nonrelated	CEL
MW077	7	CEL	Central European Lowlands	#6B0504	Germany	2015	52.131392	13.216249	Wolf	Nonrelated	CEL
MW078	7	CEL	Central European Lowlands	#6B0504	Germany	2016	51.010989	10.845346	Wolf	Nonrelated	CEL
MW080	7	CEL	Central European Lowlands	#6B0504	Germany	2015	51.950265	11.692273	Wolf	Nonrelated	CEL
MW083	7	CEL	Central European Lowlands	#6B0504	Germany	2016	50.652051	9.162438	Wolf	Nonrelated	CEL
MW085	7	CEL	Central European Lowlands	#6B0504	Germany	2016	52.131392	13.216249	Wolf	Nonrelated	CEL
MW088	7	CEL	Central European Lowlands	#6B0504	Germany	2016	52.131392	13.216249	Wolf	Nonrelated	CEL
MW089	7	CEL	Central European Lowlands	#6B0504	Germany	2017	53.612651	12.429595	Wolf	Nonrelated	CEL
MW090	7	CEL	Central European Lowlands	#6B0504	Germany	2017	51.104541	13.201738	Wolf	Nonrelated	CEL
MW091	7	CEL	Central European Lowlands	#6B0504	Germany	2017	52.131392	13.216249	Wolf	Nonrelated	CEL
MW094	7	CEL	Central European Lowlands	#6B0504	Germany	2018	52.636704	9.845077	Wolf	Nonrelated	CEL
MW095	7	CEL	Central European Lowlands	#6B0504	Germany	2018	51.104541	13.201738	Wolf	Nonrelated	CEL
MW096	7	CEL	Central European Lowlands	#6B0504	Germany	2018	52.636704	9.845077	Wolf	Nonrelated	CEL
MW098	7	CEL	Central European Lowlands	#6B0504	Germany	2018	52.131392	13.216249	Wolf	Nonrelated	CEL
MW262	7	CEL	Central European Lowlands	#6B0504	Poland	2013	51.63869	15.19362	Wolf	Nonrelated	CEL
MW270	7	CEL	Central European Lowlands	#6B0504	Poland	2016	51.562	15.0614	Wolf	Nonrelated	CEL
MW271	7	CEL	Central European Lowlands	#6B0504	Poland	2017	51.60928	14.97246	Wolf	Nonrelated	CEL
MW272	7	CEL	Central European Lowlands	#6B0504	Poland	2017	54.13323	17.84086	Wolf	Nonrelated	CEL
MW273	7	CEL	Central European Lowlands	#6B0504	Poland	2017	52.5431	14.76891	Wolf	Nonrelated	CEL
MW274	7	CEL	Central European Lowlands	#6B0504	Poland	2016	53.2381	15.97129	Wolf	Nonrelated	CEL
MW276	7	CEL	Central European Lowlands	#6B0504	Poland	2018	53.0496	16.1429	Wolf	Nonrelated	CEL
MW277	7	CEL	Central European Lowlands	#6B0504	Poland	2018	53.06771	16.54556	Wolf	Nonrelated	CEL
MW278	7	CEL	Central European Lowlands	#6B0504	Poland	2013	53.39909	16.70848	Wolf	Nonrelated	CEL
MW280	7	CEL	Central European Lowlands	#6B0504	Poland	2016	53.3845	16.73929	Wolf	Nonrelated	CEL
MW281	7	CEL	Central European Lowlands	#6B0504	Poland	2016	53.3709	16.65359	Wolf	Nonrelated	CEL
MW283	7	CEL	Central European Lowlands	#6B0504	Poland	2017	53.52417	16.41971	Wolf	Nonrelated	CEL
MW286	7	CEL	Central European Lowlands	#6B0504	Poland	2012	52.71581	16.08352	Wolf	Nonrelated	CEL
MW287	7	CEL	Central European Lowlands	#6B0504	Poland	2017	52.54669	15.07533	Wolf	Nonrelated	CEL
MW288	7	CEL	Central European Lowlands	#6B0504	Poland	2018	52.7872	15.73189	Wolf	Nonrelated	CEL
MW289	7	CEL	Central European Lowlands	#6B0504	Poland	2017	52.53113	14.79944	Wolf	Nonrelated	CEL
MW291	7	CEL	Central European Lowlands	#6B0504	Poland	2015	52.5454	17.0451	Wolf	Nonrelated	CEL
MW292	7	CEL	Central European Lowlands	#6B0504	Poland	2016	54.71869	17.27036	Wolf	Nonrelated	CEL
MW293	7	CEL	Central European Lowlands	#6B0504	Poland	2017	51.13076	15.59971	Wolf	Nonrelated	CEL
MW295	7	CEL	Central European Lowlands	#6B0504	Poland	2019	50.5737	21.93079	Wolf	Nonrelated	CEL
MW333	7	CEL	Central European Lowlands	#6B0504	Czech-Republic	2018	50.653	15.6133	Wolf	Nonrelated	CEL
MW334	7	CEL	Central European Lowlands	#6B0504	Czech-Republic	2018	50.3376	14.8746	Wolf	Nonrelated	CEL
MW338	7	CEL	Central European Lowlands	#6B0504	Czech-Republic	2020	50.67852	14.539699	Wolf	Nonrelated	CEL
MW340	7	CEL	Central European Lowlands	#6B0504	Czech-Republic	2019	50.27093	14.66497	Wolf	Nonrelated	CEL
MW515	7	CEL	Central European Lowlands	#6B0504	Austria	2020	48.65342	15.33925	Wolf	Nonrelated	CEL
MW061	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2014	46.135413	25.708109	Wolf	Nonrelated	DINBAL
MW062	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2014	46.128965	25.610115	Wolf	Nonrelated	DINBAL
MW063	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2014	45.94316	24.96676	Wolf	Nonrelated	DINBAL
MW064	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2014	46.069015	26.087026	Wolf	Nonrelated	DINBAL
MW068	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2015	45.94316	24.96676	Wolf	Nonrelated	DINBAL
MW081	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2015	46.493201	25.745835	Wolf	Nonrelated	DINBAL
MW082	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2015	46.493201	25.745835	Wolf	Nonrelated	DINBAL
MW1118	10	DINBAL	Dinaric Balkan	#FDCA40	Bulgaria	2005	42.86	23.31	Wolf	Nonrelated	DINBAL
MW1120	10	DINBAL	Dinaric Balkan	#FDCA40	Bulgaria	2020	41.7	23.1	Wolf	Nonrelated	DINBAL
MW1121	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	1996	43.7	16.62	Wolf	Nonrelated	DINBAL
MW1122	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	1996	45.4	14.72	Wolf	Nonrelated	DINBAL
MW1123	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2000	45.39	14.8	Wolf	Nonrelated	DINBAL
MW1124	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2004	44.59	15.44	Wolf	Nonrelated	DINBAL
MW1125	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2005	43.6	16.54	Wolf	Nonrelated	DINBAL
MW1126	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2008	43.16	17.32	Wolf	Nonrelated	DINBAL
MW1127	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2009	43.16	17.32	Wolf	Nonrelated	DINBAL
MW1128	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2009	43.55	16.3	Wolf	Nonrelated	DINBAL
MW1130	10	DINBAL	Dinaric Balkan	#FDCA40	Croatia	2009	43.63	16.77	Wolf	Nonrelated	DINBAL
MW1131	10	DINBAL	Dinaric Balkan	#FDCA40	Greece	1998	40.3	21.8	Wolf	Nonrelated	DINBAL
MW1133	10	DINBAL	Dinaric Balkan	#FDCA40	Greece	1999	40.3	21.8	Wolf	Nonrelated	DINBAL
MW1134	10	DINBAL	Dinaric Balkan	#FDCA40	Greece	1999	40.3	21.8	Wolf	Nonrelated	DINBAL
MW1135	10	DINBAL	Dinaric Balkan	#FDCA40	Greece	1999	40.1	21.42	Wolf	Nonrelated	DINBAL
MW1140	10	DINBAL	Dinaric Balkan	#FDCA40	Greece	2010	40.71	21.81	Wolf	Nonrelated	DINBAL
MW1169	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2020	46.48	24.82	Wolf	Nonrelated	DINBAL
MW1171	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2020	46.43	24.79	Wolf	Nonrelated	DINBAL
MW1173	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2020	46.58	25.13	Wolf	Nonrelated	DINBAL
MW703A	10	DINBAL	Dinaric Balkan	#FDCA40	Bosnia-and-Herzegovina	2009	43.7831	19.2918	Wolf	Nonrelated	DINBAL
MW705A	10	DINBAL	Dinaric Balkan	#FDCA40	Romania	2020	45.6792	26.2527	Wolf	Nonrelated	DINBAL
MW706A	10	DINBAL	Dinaric Balkan	#FDCA40	Bulgaria	2011	42.6977	23.32186	Wolf	Nonrelated	DINBAL
MW876	10	DINBAL	Dinaric Balkan	#FDCA40	Bulgaria	2020	41.7333	24.35	Wolf	Nonrelated	DINBAL
MW877	10	DINBAL	Dinaric Balkan	#FDCA40	Bosnia-and-Herzegovina	2020	43.45	18.6	Wolf	Nonrelated	DINBAL
MW884	10	DINBAL	Dinaric Balkan	#FDCA40	Ukraine	2011	50.5301	30.4224	Wolf	Nonrelated	DINBAL
MW922	10	DINBAL	Dinaric Balkan	#FDCA40	Ukraine	2020	48.0167	25.2333	Wolf	Nonrelated	DINBAL
Chinese_CAN11	1	EASIA	Eastern Asian	#DB3A34	China	2020	35.7594035	93.6699489	Wolf	Nonrelated	EASIA
Chinese_CAN16	1	EASIA	Eastern Asian	#DB3A34	China	2020	35.7594035	93.6699489	Wolf	Nonrelated	EASIA
Chinese_CAN24	1	EASIA	Eastern Asian	#DB3A34	China	2020	44.9859211	90.7146768	Wolf	Nonrelated	EASIA
Chinese_CAN30	1	EASIA	Eastern Asian	#DB3A34	China	2020	44.2583554	84.7838073	Wolf	Nonrelated	EASIA
Chinese_CAN32	1	EASIA	Eastern Asian	#DB3A34	China	2020	31.5903791	84.264246	Wolf	Nonrelated	EASIA
Chinese_CAN6	1	EASIA	Eastern Asian	#DB3A34	China	2020	45.0191656	102.650335	Wolf	Nonrelated	EASIA
Chinese_CAN7	1	EASIA	Eastern Asian	#DB3A34	China	2020	45.0191656	102.650335	Wolf	Nonrelated	EASIA
Chinese_CAN9	1	EASIA	Eastern Asian	#DB3A34	China	2020	29.633774	91.0561504	Wolf	Nonrelated	EASIA
InnerMongoliaWolf	1	EASIA	Eastern Asian	#DB3A34	China	2020	45.0191656	102.650335	Wolf	Nonrelated	EASIA
KoreanWolf4	1	EASIA	Eastern Asian	#DB3A34	Korea	2020	36.5886	127.9306	Wolf	Nonrelated	EASIA
