ID	Location	Latitude	Longitude	Species	Captive	newgroup	colour	unrelated	refpanel	dups	hybrids	related	grouping	newgroup2
MW1054	Finland	62.3756426	30.2513095	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1054	related	KAR
MW1056	Finland	68.4072457	28.1839583	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1056	related	WFIN
MW1057	Finland	62.2964953	30.7390734	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1057	related	EFIN
MW1058	Finland	63.4185184	24.6152109	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1058	related	WFIN
MW1059	Finland	64.187481	26.8876367	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1059	related	EFIN
MW1072	Russia	56.55	63.15	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1072	related	VOUR
MW1082	Russia	56.5	64.59	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1082	related	VOUR
MW1151	Latvia	56.41	25.68	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1151	related	SBAL
MW1201	Finland	63.10765351	30.34799828	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1201	related	EFIN
MW1202	Finland	63.36817561	27.73102457	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1202	related	EFIN
MW1234	Norway	60.75822	12.06164	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1234	related	SCAN
MW1235	Norway	60.74957	12.01733	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1235	related	SCAN
MW1237	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1237	related	SCAN
MW1238	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1238	related	SCAN
MW1239	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1239	related	SCAN
MW1240	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1240	related	SCAN
MW1241	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1241	related	SCAN
MW1242	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1242	related	SCAN
MW1243	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1243	related	SCAN
MW1244	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1244	related	SCAN
MW1245	Norway	60.472	8.4689	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1245	related	SCAN
MW148_merged	Norway	60.066974	12.061668	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW148_merged	related	SCAN
MW149_merged	Norway	59.968101	11.218617	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW149_merged	related	SCAN
MW154_merged_Canfam31	Norway	61.966672	11.533331	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW154_merged_Canfam31	related	SCAN
MW155_merged_Canfam31	Norway	61.57515	5.898423	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW155_merged_Canfam31	related	SCAN
MW157_merged_Canfam31	Norway	64.321111	13.415833	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW157_merged_Canfam31	related	WFIN
MW158_merged_Canfam31	Norway	62.166667	11.2	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW158_merged_Canfam31	related	SCAN
MW159_merged_Canfam31	Norway	61.603813	10.776709	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW159_merged_Canfam31	related	SCAN
MW160_merged_Canfam31	Norway	61.40581	11.350784	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW160_merged_Canfam31	related	SCAN
MW161_merged_Canfam31	Norway	60.449007	12.127128	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW161_merged_Canfam31	related	SCAN
MW255	Poland	49.57457	21.89296	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW255	related	CAR
MW262	Poland	51.63869	15.19362	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW262	related	CEL
MW282	Poland	53.3845	16.74329	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW282	related	CEL
MW284	Poland	53.28931	16.14308	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW284	related	CEL
MW285	Poland	52.88775	18.58079	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW285	related	CEL
MW290	Poland	52.51208	14.88157	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW290	related	CEL
MW299	Italy	41.92465	13.09366	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW299	related	ITA
MW300	Italy	42.05603	13.10448	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW300	related	ITA
MW313	Finland	63.743086	27.001454	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW313	related	EFIN
MW317	Finland	60.7363744	28.0417279	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW317	related	WFIN
MW319	Finland	60.9031523	21.93624	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW319	related	WFIN
MW320	Finland	63.9490052	26.8489407	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW320	related	EFIN
MW322	Finland	63.671639	27.522087	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW322	related	WFIN
MW323	Finland	63.084089	23.366698	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW323	related	WFIN
MW324	Finland	60.9605238	28.514119	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW324	related	WFIN
MW325	Finland	62.2620173	24.0421082	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW325	related	WFIN
MW326	Finland	61.8357354	27.6200198	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW326	related	EFIN
MW327	Finland	59.9950238	23.559066	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW327	related	WFIN
MW328	Finland	61.0662805	22.5310643	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW328	related	WFIN
MW329	Finland	63.8472605	27.1021965	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW329	related	EFIN
MW330_merge	Finland	63.88918786	26.31277152	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW330_merge	related	EFIN
MW331	Finland	61.7670342	24.3282483	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW331	related	WFIN
MW335	Slovakia	48.3823	19.3151	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW335	related	CAR
MW343	Finland	61.0849944	22.5615337	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW343	related	WFIN
MW344	Finland	60.8118365	22.5851296	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW344	related	WFIN
MW345	Finland	60.151865	23.3965385	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW345	related	WFIN
MW346	Finland	60.7720311	22.4387799	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW346	related	WFIN
MW347	Finland	60.7539447	22.1861279	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW347	related	WFIN
MW348	Finland	61.6748233	29.8212187	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW348	related	KAR
MW349	Finland	61.0712915	22.8274185	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW349	related	WFIN
MW350	Finland	61.0078654	28.4609596	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW350	related	WFIN
MW353	Finland	62.971972	23.002363	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW353	related	WFIN
MW354	Finland	63.8387116	23.8336229	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW354	related	WFIN
MW357	Finland	63.3886446	24.5931381	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW357	related	WFIN
MW359	Finland	63.6762401	28.0423145	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW359	related	KAR
MW360	Finland	63.5351203	28.0113483	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW360	related	EFIN
MW361	Finland	63.3737564	28.0958178	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW361	related	EFIN
MW362	Finland	62.9034028	28.5115117	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW362	related	EFIN
MW363	Finland	63.8166336	27.3537502	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW363	related	EFIN
MW374	Lithuania	54.63791	24.93468	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW374	related	SBAL
MW380	Turkiye	40.192723	42.294624	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW380	related	SWASIA
MW382	Turkiye	40.192723	42.294624	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW382	related	SWASIA
MW385	Turkiye	40.311065	42.592634	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW385	related	SWASIA
MW400	Finland	62.66788	30.93949	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW400	related	EFIN
MW403	Finland	63.3185	30.02645	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW403	related	KAR
MW406	Finland	61.89182	29.82726	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW406	related	KAR
MW408	Finland	62.66788	30.93949	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW408	related	WFIN
MW410	Finland	64.88407	28.91171	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW410	related	EFIN
MW415	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW415	related	KAR
MW416	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW416	related	EFIN
MW417	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW417	related	KAR
MW421	Finland	68.9062	27.02775	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW421	related	EFIN
MW423	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW423	related	KAR
MW426	Finland	64.67914	28.48402	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW426	related	EFIN
MW427	Finland	64.67914	28.48402	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW427	related	EFIN
MW431	Finland	64.88411	28.91165	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW431	related	KAR
MW433	Finland	64.88411	28.91165	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW433	related	KAR
MW434	Finland	61.55018	29.5024	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW434	related	KAR
MW435	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW435	related	KAR
MW439	Finland	64.86747	27.6752	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW439	related	KAR
MW443	Finland	64.13065	28.39049	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW443	related	KAR
MW446	Finland	66.83265	28.67011	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW446	related	EFIN
MW448	Finland	62.8062	30.15538	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW448	related	EFIN
MW450	Finland	64.12874	29.52028	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW450	related	KAR
MW451	Finland	62.66788	30.93949	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW451	related	EFIN
MW454	Finland	62.66788	30.93949	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW454	related	EFIN
MW455	Finland	61.92411	25.74815	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW455	related	EFIN
MW459	Finland	61.55018	29.5024	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW459	related	KAR
MW474	Russia	63.15587	32.99055	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW474	related	KAR
MW477	Russia	63.15587	32.99055	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW477	related	KAR
MW478	Russia	62.2062	34.26757	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW478	related	KAR
MW479	Russia	62.2062	34.26757	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW479	related	KAR
MW494	Russia	65.86165	44.22931	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW494	related	VOUR
MW496	Russia	63.91905	38.08377	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW496	related	EFIN
MW498	Russia	60.97868	32.97086	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW498	related	VOUR
MW522	Russia	58.823997	126.200618	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW522	related	EASIA
MW527	Russia	59.373691	128.610295	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW527	related	EASIA
MW529	Russia	57.393416	131.614782	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW529	related	EASIA
MW534	Russia	64.774078	125.904257	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW534	related	EASIA
MW537	Russia	63.195141	126.966924	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW537	related	EASIA
MW545	Russia	62.665931	34.292776	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW545	related	KAR
MW546	Russia	62.665931	34.292776	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW546	related	KAR
MW547	Russia	62.665931	34.292776	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW547	related	KAR
MW548	Russia	62.665931	34.292776	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW548	related	KAR
MW549	Russia	62.665931	34.292776	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW549	related	KAR
MW550	Russia	61.419537	35.262143	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW550	related	KAR
MW551	Russia	61.419537	35.262143	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW551	related	KAR
MW556	Russia	62.295949	34.405013	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW556	related	KAR
MW557	Russia	62.477836	34.135643	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW557	related	KAR
MW559	Russia	62.250839	34.388362	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW559	related	KAR
MW699A	Slovakia	48.7231	20.2541	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW699A	related	CAR
MW704A	Slovakia	48.7163	19.6992	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW704A	related	CAR
MW718A	Latvia	56.67331	22.57438	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW718A	related	SBAL
MW733A	Finland	64.34331604	25.88144639	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW733A	related	KAR
MW735A	Finland	65.1089405	29.6322129	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW735A	related	SCAN
MW736A	Finland	65.43899846	29.7293022	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW736A	related	KAR
MW738A	Finland	64.17906905	30.01867883	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW738A	related	EFIN
MW739A	Finland	62.258787	30.2493156	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW739A	related	EFIN
MW740A	Finland	68.6402804	28.469675	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW740A	related	KAR
MW741A	Finland	63.7973086	29.3591838	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW741A	related	EFIN
MW742A	Finland	65.1044579	29.8321658	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW742A	related	SCAN
MW743A	Finland	64.1790691	30.0186788	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW743A	related	EFIN
MW745A	Finland	64.42794	28.45764	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW745A	related	WFIN
MW747A	Finland	67.69996	29.51117	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW747A	related	KAR
MW749A	Finland	64.9483908	28.29541121	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW749A	related	EFIN
MW750A	Finland	63.9493108	27.0853907	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW750A	related	EFIN
MW751A	Finland	68.1428958	28.8980399	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW751A	related	KAR
MW752A	Finland	64.9483908	28.2954112	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW752A	related	EFIN
MW753A	Finland	64.30203085	29.89646548	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW753A	related	KAR
MW757A	Finland	64.3020309	29.8964655	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW757A	related	EFIN
MW758A	Finland	63.89533153	28.19380148	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW758A	related	EFIN
MW760A	Finland	63.5892968	29.539554	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW760A	related	EFIN
MW762A	Finland	63.9750509	27.2417713	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW762A	related	EFIN
MW763A	Finland	63.8239611	26.734501	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW763A	related	EFIN
MW765A	Finland	63.981444	26.5422133	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW765A	related	EFIN
MW766A	Finland	63.8200248	26.3077974	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW766A	related	KAR
MW768A	Finland	60.08145	23.2422365	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW768A	related	WFIN
MW770A	Finland	60.9200038	24.0787996	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW770A	related	EFIN
MW771A	Finland	63.8713608	27.5911336	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW771A	related	EFIN
MW772A	Finland	60.9152347	21.6027238	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW772A	related	WFIN
MW773A	Finland	60.1524392	23.2557549	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW773A	related	WFIN
MW777A	Finland	60.4508201	24.8328959	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW777A	related	WFIN
MW779A	Finland	63.6224031	28.053088	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW779A	related	EFIN
MW780A	Finland	60.0330074	23.653432	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW780A	related	WFIN
MW791	Latvia	56.86696	25.87458	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW791	related	NBAL
MW807	Latvia	56.22836	25.6114	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW807	related	SBAL
MW817	Latvia	57.15926	21.62748	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW817	related	SBAL
MW827	Estonia	58.26687	25.40363	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW827	related	NBAL
MW829	Estonia	58.05383	26.23935	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW829	related	NBAL
MW831	Estonia	58.92829	24.87684	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW831	related	NBAL
MW832	Estonia	59.19631	25.54195	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW832	related	NBAL
MW837	Estonia	57.9481	25.82096	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW837	related	NBAL
MW838	Estonia	58.22434	26.42173	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW838	related	NBAL
MW845	Estonia	58.28652	22.02447	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW845	related	NBAL
MW847	Estonia	58.68616	24.77731	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW847	related	NBAL
MW849	Estonia	58.50415	23.11514	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW849	related	NBAL
MW851	Estonia	58.55935	23.08216	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW851	related	NBAL
MW860	Estonia	58.89957	24.1273	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW860	related	NBAL
MW863	Estonia	59.08607	25.24129	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW863	related	NBAL
MW864	Estonia	57.92097	26.1227	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW864	related	NBAL
MW866	Estonia	57.60104	27.22926	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW866	related	NBAL
MW871	Russia	53	57	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW871	related	VOUR
MW872	Russia	53	57	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW872	related	VOUR
MW879	Slovakia	48.6233	19.0548	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW879	related	CAR
MW880	Slovakia	48.6233	19.0548	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW880	related	CAR
MW901	Ukraine	47.5	32.25	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW901	related	SBAL
MW902	Ukraine	47.5	32.25	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW902	related	SBAL
MW904	Ukraine	47.5	32.25	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW904	related	SBAL
MW909	Ukraine	50.9167	34.55	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW909	related	SBAL
MW911	Ukraine	50.95	28.9333	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW911	related	SBAL
MW913	Ukraine	50.95	28.9333	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW913	related	SBAL
MW928	Ukraine	46.8333	35.2667	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW928	related	VOUR
MW930	Ukraine	49.75	38.6333	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW930	related	VOUR
MW932	Ukraine	49.2667	39.6167	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW932	related	VOUR
MW938	Slovakia	48.5898	19.9911	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW938	related	CAR
MW943	Slovakia	48.8209	20.8001	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW943	related	CAR
MW950	Slovakia	48.8367	20.5316	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW950	related	CAR
MW955	Slovakia	49.0175	20.909	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW955	related	CAR
MW956	Slovakia	49.3484	21.2218	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW956	related	CAR
MW958	Slovakia	49.0642	20.9141	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW958	related	CAR
MW972	Finland	60.9416289	24.1897366	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW972	related	EFIN
MW975	Finland	65.1231006	29.6262206	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW975	related	SCAN
MW976	Finland	66.1832798	28.250044	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW976	related	KAR
MW985	Finland	68.2397456	24.4553241	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW985	related	WFIN
V141	Russia	62.477836	34.135643	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	V141	related	KAR
W12	Finland	64.35293	30.02992	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W12	related	EFIN
W13	Finland	62.35584	30.10892	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W13	related	EFIN
W16	Finland	63.69178	28.49546	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W16	related	EFIN
W17	Finland	63.54006	30.07035	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W17	related	EFIN
W18	Finland	64.27375	28.82116	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W18	related	EFIN
W19	Finland	66.06104	25.71121	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W19	related	KAR
W20	Finland	64.06776	29.01471	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W20	related	EFIN
W21	Finland	63.46851	28.96664	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W21	related	EFIN
W24	Finland	64.46547	29.32468	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W24	related	EFIN
W27	Finland	64.21971	30.16259	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W27	related	EFIN
W28	Finland	64.20904	29.81117	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W28	related	EFIN
W29	Finland	63.39621	28.97033	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W29	related	EFIN
W30	Finland	63.80517	29.1436	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W30	related	EFIN
W31	Finland	65.73355	29.90839	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W31	related	EFIN
W32	Finland	60.81808	22.60191	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W32	related	WFIN
W33	Finland	64.34953	28.46488	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W33	related	EFIN
W34	Finland	64.64486	29.82102	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W34	related	EFIN
W35	Finland	63.56291	29.75275	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W35	related	WFIN
W38	Finland	64.29608	24.75864	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W38	related	EFIN
W4	Finland	64.18218	29.90971	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W4	related	EFIN
W40	Finland	63.76897	27.67596	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	W40	related	EFIN
